Item,Q4 2009,Q4 2010,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. Dự phòng phải trả ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6871718.0,0.0,386034592.0,379448228.0,45292807174.0,144567169905.0,143658111834.0,53626429837.0,44915940632.0,12553377162.0,16832049148.0,47063198881.0,43444962065.0,240006235626.0,125372177726.0,0.0,2369390697.0,0.0,0.0,0.0,2726766092.0,7809021460.0,7614176977.0,0.0,0.0,1487133401.0,0.0,0.0,24940818515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13. Quỹ khen thưởng phúc lợi,35138247658.0,32205709257.0,30949997382.0,121619598350.0,127246014927.0,138464786518.0,176876716962.0,61991743690.0,37598379927.0,128030238495.0,116377308027.0,108943850672.0,75209753220.0,249748490642.0,150037747607.0,280784661306.0,199439305734.0,205497732595.0,180312861428.0,198794610076.0,134854113765.0,178454285182.0,156981342418.0,173981545355.0,152690759942.0,231191557885.0,219135848643.0,234947771227.0,376536749950.0,378081595064.0,365890132639.0,359194325500.0,498895800671.0,485006894843.0,456783874015.0,425151304749.0,397696215274.0,533535066753.0,507078098726.0,479314002119.0,466775025216.0,637506874703.0,630524759524.0,573192781321.0,551353297565.0,707114681039.0,695128402572.0,380897369778.0,360631994460.0,605746385294.0,571869701561.0
14. Quỹ bình ổn giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15. Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Nợ dài hạn,7759197143766.0,7202114861321.0,15916471753761.0,10242969713930.0,10345495567749.0,9323264287475.0,9405594453702.0,8456561658979.0,6686892890890.0,5887277723125.0,6080302730260.0,5565512858204.0,5663760120636.0,4614361950279.0,5526774168922.0,5518484459182.0,5747424470903.0,4539660227328.0,5397503063295.0,4848353137654.0,6342764848492.0,6792694715475.0,6660137727054.0,6738437243605.0,7860957110827.0,7634503457111.0,7566923625033.0,7695454408354.0,7460759125588.0,7035837137966.0,5057738269986.0,3915069253517.0,3027099122618.0,2949930480486.0,2952000952985.0,2609734104934.0,2649491005784.0,2555226278159.0,3041446179950.0,4006999377582.0,5264191561840.0,6941806448320.0,9183933355884.0,10014082439548.0,10840972120068.0,10953150884406.0,11717547208337.0,9001131890534.0,9003261312006.0,8249826847205.0,8382363284368.0
1. Phải trả người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80774452019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Chi phí phải trả dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Phải trả nội bộ về vốn kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải trả nội bộ dài hạn,1629670994116.0,44265687854.0,45290000808.0,44264383269.0,44264383269.0,44264383269.0,44264383269.0,44264383269.0,44264383269.0,44264383269.0,44264383269.0,44264383269.0,0.0,0.0,0.0,0.0,7592267072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải trả dài hạn khác,188052146002.0,198972135791.0,4250827510940.0,265905529389.0,276454886838.0,275327675705.0,275579349153.0,270061016924.0,264779181718.0,247641047889.0,239136919568.0,229197999385.0,218033520488.0,211987572440.0,202903111473.0,194663433474.0,114030617701.0,201707640820.0,200061833281.0,197566700209.0,183362251397.0,196585910829.0,185428694167.0,186784129402.0,172148576179.0,186180040083.0,198055048298.0,208104903653.0,210385336388.0,220039279295.0,226018774941.0,247137862278.0,252760726846.0,264007518584.0,273445457719.0,86941807721.0,83787403883.0,86912898041.0,86107385708.0,93020749601.0,98843691299.0,102275334508.0,108161142142.0,114046536416.0,138531814826.0,153175177953.0,152996950454.0,140713909428.0,167578344491.0,149789131652.0,159737799639.0
6. Vay và nợ thuê tài chính dài hạn,5482742134621.0,5382515946148.0,9523792341406.0,8149810808499.0,8342467823662.0,7701968255977.0,7763495591750.0,6338494601382.0,5788907885100.0,5175392183222.0,5585123314361.0,4697396517868.0,4769757285355.0,4021042142840.0,5158683037547.0,5135324424862.0,5171586127618.0,3998151095467.0,4847796603746.0,4502207174373.0,6011010919385.0,6453417859458.0,6300289232338.0,6369057395481.0,7508914050495.0,7261464925380.0,7180595339028.0,7311935862404.0,7041627042296.0,6590452540150.0,4577753718133.0,3395742808039.0,2495217808039.0,2014416755744.0,2007696755744.0,1455930000000.0,1480500000000.0,971040000000.0,1463523862737.0,1963867248970.0,3280614357698.0,4677596266574.0,6916261691157.0,7510120451721.0,8113095957168.0,8204318613980.0,8960439164636.0,6037962890208.0,6026796732059.0,5177506554059.0,5293932973491.0
7. Trái phiếu chuyển đổi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Thuế thu nhập hoãn lại phải trả,0.0,0.0,0.0,0.0,76107000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44924303926.0,44924303926.0,62404801768.0,66640144801.0,90227237151.0,92832067026.0,99375972190.0,99941180771.0,107275599272.0,126813685378.0,146394815937.0,167528991861.0,182027789429.0,189489797127.0,197351043185.0,197351043186.0,182000454368.0,182000454367.0,182000454368.0,173780781330.0,168877320380.0,171627679437.0,188734197700.0,188734197700.0,219007722635.0,226316521821.0,233241179255.0,233241179255.0,253194790414.0,258420179424.0,270507723802.0,276301987266.0
9. Dự phòng trợ cấp mất việc làm,21573096990.0,22506110661.0,2938635633.0,3137375655.0,3287023920.0,3594696418.0,3076086274.0,0.0,0.0,686861084.0,686861084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Dự phòng phải trả dài hạn,66692487506.0,578774423056.0,617691783430.0,0.0,0.0,0.0,0.0,0.0,33929024482.0,72560442692.0,70505030857.0,82576132249.0,91253993862.0,102302280309.0,113318452903.0,112735894746.0,342084961944.0,308445446492.0,318288581719.0,49038329745.0,49038329745.0,48930098871.0,49701480442.0,16585313781.0,10695609958.0,13821982121.0,13821982121.0,23526331752.0,26896353544.0,33111263241.0,41652628343.0,45337438542.0,45565326545.0,431443617812.0,431638462295.0,845701953745.0,864667086683.0,1279622764434.0,1282626679324.0,1749074356692.0,1681162138983.0,1943657359634.0,1942423034981.0,2145620277655.0,2338820412712.0,2338208499677.0,2347333185419.0,2546853859491.0,2529077736191.0,2632071375367.0,2632488461647.0
11. Doanh thu chưa thực hiện dài hạn,0.0,4336402478.0,329220479191.0,633140614765.0,532234340707.0,151398273753.0,172468040903.0,650076207412.0,548057968682.0,339778357330.0,133631773482.0,505123377794.0,577760873292.0,272075507051.0,44915119360.0,44404661551.0,0.0,0.0,0.0,23260584852.0,23072999490.0,0.0,26722130757.0,26506123241.0,27089762620.0,24623492788.0,25643030266.0,24264502389.0,25056849427.0,23761120307.0,23278920552.0,24192820135.0,23842811847.0,22896775827.0,23544797587.0,23328790071.0,23112782555.0,22032745747.0,23112782555.0,22464760007.0,22248752491.0,21168715684.0,21168715684.0,21600729943.0,20520692363.0,20520692363.0,20952707395.0,19822419815.0,19656662299.0,19390404783.0,19390404783.0
12. Quỹ phát triển khoa học và công nghệ,370466284531.0,970744155333.0,1146711002353.0,1146711002353.0,1146711002353.0,1146711002353.0,1146711002353.0,1153665449992.0,6954447639.0,6954447639.0,6954447639.0,6954447639.0,6954447639.0,6954447639.0,6954447639.0,31356044549.0,31356044549.0,31356044549.0,31356044549.0,31356044549.0,31356044549.0,31356044549.0,31356044549.0,49277044549.0,49277044549.0,49037044549.0,48867044549.0,20347208884.0,29979858555.0,22078119036.0,21505236156.0,20630535094.0,20222652214.0,19814769334.0,18324436454.0,15831099029.0,15423278296.0,13617415569.0,12294688296.0,9694941932.0,9694941932.0,8374574220.0,7184574220.0,3686721178.0,3686721178.0,3686721178.0,2584021178.0,2584021178.0,1731657542.0,561657542.0,511657542.0
B. Nguồn vốn chủ sở hữu,7590612897677.0,22666956748423.0,26692413274323.0,25019043060861.0,27524436982055.0,27383509131391.0,27972151756135.0,28755035882897.0,33164064523733.0,33988497519298.0,35064562581235.0,35134422918872.0,37103071288751.0,36947472826352.0,37110282451838.0,37683612363230.0,40373272696207.0,41547381581869.0,43883292139326.0,42893991226325.0,43612286379608.0,41293279358075.0,42203901290738.0,40857507190029.0,42483987903162.0,41377121958920.0,41371020071461.0,43160226282527.0,45778225096075.0,45047660440524.0,44256941836961.0,47464585701119.0,45928201666641.0,46402359250586.0,47258932853464.0,49684472763099.0,51963120794749.0,53527683397120.0,47794064016827.0,49408142163009.0,51576578924572.0,47845301778255.0,50193145379848.0,52192730675130.0,55709324244294.0,60571887620134.0,58013029322215.0,61317292428161.0,64569528030699.0,67451047454065.0,62671280844468.0
I. Vốn chủ sở hữu,7583437245560.0,22662079190019.0,26690766336741.0,25017116809361.0,27522045061192.0,27380788256224.0,27969530128475.0,28753471838043.0,33162799654174.0,33988497519298.0,35064562581235.0,35134422918872.0,37101267984468.0,36947472826352.0,37110282451838.0,37683612363230.0,40373272696207.0,41547381581869.0,43883292139326.0,42893991226325.0,43612286379608.0,41293279358075.0,42203901290738.0,40857507190029.0,42483987903162.0,41377121958920.0,41371020071461.0,43160226282527.0,45778225096075.0,45047660440524.0,44256941836961.0,47464585701119.0,45928201666641.0,46402359250586.0,47258932853464.0,49684472763099.0,51963120794749.0,53527683397120.0,47794064016827.0,49408142163009.0,51576578924572.0,47845301778255.0,50193145379848.0,52192730675130.0,55709324244294.0,60571887620134.0,58013029322215.0,61317292428161.0,64569528030699.0,67451047454065.0,62671280844468.0
1. Vốn đầu tư của chủ sở hữu,5068993804933.0,10455050754975.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,18950000000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0,19139500000000.0
2. Thặng dư vốn cổ phần,0.0,0.0,10669128330.0,0.0,10642014176.0,0.0,0.0,0.0,0.0,0.0,0.0,1216727266.0,1216727266.0,1216727266.0,1216727266.0,1216727266.0,1216727266.0,1216727266.0,1041727266.0,421727266.0,189746727266.0,189746727266.0,189746727267.0,189746727266.0,189746727266.0,189746727266.0,189746727266.0,189746727266.0,210679541297.0,210679541297.0,210261047473.0,210261047473.0,210261047473.0,210679541297.0,210679541297.0,210679541297.0,210679541298.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541296.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0,210679541297.0
3. Quyền chọn chuyển đổi trái phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Vốn khác của chủ sở hữu,0.0,1254472277.0,0.0,30966515289.0,0.0,30949322304.0,11200180895.0,30939401135.0,32941402529.0,33010841083.0,32941402529.0,32941402529.0,32941402529.0,31669684486.0,31695428185.0,59407831433.0,99284117472.0,100392477344.0,100378966864.0,251878967648.0,255997699987.0,255848686264.0,255848686264.0,255848686264.0,255850125849.0,255319038873.0,255850125849.0,255850125849.0,255850125849.0,255319038873.0,256268619673.0,256268619673.0,256268619673.0,255319038873.0,255319038873.0,196658562648.0,196658562647.0,196658562648.0,196658562648.0,196658562648.0,196658562648.0,196658562648.0,196658562648.0,196658562647.0,196658562649.0,196658562648.0,196658562648.0,196658562647.0,196658562647.0,191518297085.0,236959539600.0
5. Cổ phiếu quỹ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1153105.0,0.0,0.0,0.0,0.0,-39911223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,-40111223937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6. Chênh lệch đánh giá lại tài sản,0.0,6710919929696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7. Chênh lệch tỷ giá hối đoái,-6501673520.0,-2561854279.0,-44510923850.0,-71056425755.0,-54369223656.0,-75390405860.0,-76312668923.0,-71978893917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Quỹ đầu tư phát triển,835463974369.0,1469719828337.0,142623337878.0,357653653654.0,358011156258.0,1545432949604.0,1545862514260.0,1568961755342.0,1549044498676.0,4235596821406.0,4236537810552.0,8525901268078.0,8547674504920.0,6967402952442.0,6941396840284.0,7628468143990.0,11646077847827.0,11661074756320.0,11661986576720.0,11513300927912.0,11527456420487.0,13253158089615.0,13274821291364.0,13404936846079.0,13404937821334.0,14849893822097.0,14849893822097.0,14849893822097.0,14849893822097.0,14862130022329.0,14862130022329.0,14862130022329.0,17213130022329.0,18945860840072.0,18945860840072.0,18844379948876.0,18844379948876.0,18853826843892.0,18853826843892.0,18853826843892.0,18853826843892.0,21053839680240.0,21053839680240.0,21053839680240.0,21053839680240.0,21063056727255.0,21063056727255.0,21063056727255.0,21063056727255.0,27627271883765.0,27581824673348.0
9. Quỹ dự phòng tài chính,1270467878633.0,1753694107517.0,26510467551.0,456640566558.0,456841647905.0,464399563825.0,464437260396.0,1454247518130.0,1456427891609.0,1459089933157.0,1459373448994.0,2683675233314.0,2684129436726.0,2685944872162.0,2686186558088.0,4057349429174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Quỹ khác thuộc vốn chủ sở hữu,0.0,0.0,0.0,214429579255.0,214429579255.0,133749266332.0,140335064940.0,133689748947.0,131687747553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134944997553.0,134945065666.0,134945065666.0,134944997553.0,134944997553.0,6287250000.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,6287318113.0,0.0,0.0
