Item,Q4 2006,Q4 2007,Q1 2008,Q2 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Chi phí phải trả ngắn hạn,634989493.0,175705963.0,,0.0,1059582763.0,,,10811860528.0,,26138137074.0,39019279990.0,0.0,33097593617.0,38487986887.0,50021799734.0,43157950148.0,60882280207.0,51639169623.0,84202901977.0,64968813778.0,34839561891.0,43097993466.0,29091676768.0,24282338968.0,17892681129.0,21014006114.0,27966451468.0,41184590556.0,42344787581.0,32633827083.0,34806444287.0,37646128770.0,97852658543.0,71439285812.0,75384971770.0,23764027694.0,40444232127.0,23362939640.0,41253194414.0,22126544910.0,140289088202.0,70984003866.0,82716012234.0,70816781137.0,62810486678.0,76818907126.0,89165381761.0,121779408434.0,112764730938.0,131604217963.0,129300823617.0,120708065603.0,95037607286.0,93958824130.0,103944695046.0,111438447026.0,106582663589.0,113354161012.0,99793998012.0,129593527831.0,72170573964.0,77934899045.0,96012961800.0,141036802218.0
8. Phải trả nội bộ ngắn hạn,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240519615456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Doanh thu chưa thực hiện ngắn hạn,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240513933638.0,22727272.0,17045454.0,11363636.0,5681818.0,22727272.0,32499999.0,39155104.0,66233286.0,463790823.0,434517311.0,235610398.0,174079995.0,159135485.0,103834141.0,23618453.0,4605443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115784595.0,0.0,1228786479.0,1046772671.0,1770311758.0,17241124097.0
11. Phải trả ngắn hạn khác,41046315540.0,31220785583.0,,23676996658.0,46452631323.0,,,88022534606.0,,308618455440.0,438052225139.0,438890741135.0,500044176311.0,538848962026.0,550246563223.0,560675233011.0,202651211150.0,144343542463.0,220178952785.0,230240616100.0,271291102478.0,231696772846.0,235627242161.0,267110191626.0,175574104970.0,277031900182.0,149830854208.0,132029683242.0,124809285529.0,100064750865.0,97774927597.0,72980894210.0,53413206224.0,178707688728.0,271130336998.0,294215924586.0,380722104553.0,473747382089.0,566751984807.0,66134284973.0,92718750075.0,128016457131.0,126572888391.0,170582674055.0,759570640964.0,779015154985.0,821860891308.0,823235244498.0,796774417909.0,836689465381.0,941772658212.0,990578553827.0,362737071284.0,439496624317.0,432503480046.0,432490511252.0,529393220266.0,639877226232.0,717427535192.0,1032998410398.0,1524231457595.0,1140693592664.0,1157983840780.0,1849184739004.0
12. Dự phòng phải trả ngắn hạn,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5660834544.0,9385502726.0,5959469092.0,7002210909.0,8044952727.0,9087694545.0,6526106489.0,5520169979.0,481874303.0,5520169979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3994367078.0,12519116391.0,20371890593.0,31461845437.0
13. Quỹ khen thưởng phúc lợi,110440003.0,92269325.0,310947541.0,885493880.0,534612519.0,337743874.0,210305985.0,267474423.0,665610578.0,571525262.0,1086353382.0,972306725.0,975380103.0,624169789.0,721623419.0,657855070.0,292470320.0,582752719.0,4968226202.0,4146547352.0,3714207620.0,3856888223.0,5111641725.0,4645794487.0,4578632974.0,4196275442.0,4444224140.0,4137157924.0,3540921424.0,2914854924.0,11650922924.0,11393322924.0,9702170374.0,8395942721.0,16234971194.0,15506340567.0,14226532331.0,12820510962.0,20491771242.0,20451771242.0,20158471242.0,20204324263.0,22833824263.0,21712824263.0,21630308263.0,21586308263.0,22270390478.0,22075890239.0,21862212096.0,21862212096.0,21857212096.0,22387212096.0,22387212096.0,22367201096.0,22367201096.0,22287179096.0,22287179096.0,22187179096.0,22803079096.0,22803079096.0,22803079096.0,22803079096.0,22803079096.0,35878171845.0
14. Quỹ bình ổn giá,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15. Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II. Nợ dài hạn,9787151842.0,5820447488.0,4059468436.0,5101480436.0,35867669285.0,79152155718.0,191736937968.0,277061473631.0,403405496808.0,668147052891.0,945682482113.0,1041374720547.0,1511900044840.0,1824158407492.0,2019310266558.0,2249086069581.0,2885073188924.0,2937113431957.0,3186639149910.0,3090711608135.0,2618277214991.0,2433312087095.0,2095598672964.0,2232224154655.0,2824042413933.0,3496369050925.0,3850327912929.0,3389983587168.0,3317892426625.0,3566712213332.0,3766916464475.0,4655670256263.0,4636550555886.0,4913950660992.0,4998663604417.0,5094398453602.0,5268855343347.0,5588596521080.0,5804222135409.0,6255702775262.0,6513254375598.0,6479870806349.0,6647488225669.0,6560465424291.0,6010367836180.0,6034174428864.0,6039980918604.0,6064645395064.0,6143790511497.0,6131881371629.0,6048189259700.0,5974682243223.0,6002781691622.0,5955761426782.0,5828599702127.0,5792638526570.0,5754174747263.0,5610838793934.0,5549432999847.0,5517226028768.0,5086626070286.0,5504587911570.0,5460904236685.0,7252734746129.0
1. Phải trả người bán dài hạn,0.0,0.0,,0.0,0.0,,,1305000000.0,,92606000.0,92606000.0,74086000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34552217613.0,28612202233.0,3386585033.0,3470039533.0,9992472533.0,14062041533.0,13021355533.0,15158410533.0,11395929533.0,7617173533.0,3932842533.0,2736363220.0,1515622353.0,0.0,0.0,0.0,0.0,0.0,2693894000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Chi phí phải trả dài hạn,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3009079072.0,0.0,0.0,0.0,11359372612.0,14097685256.0,26837298632.0,34126854262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157210000.0
3. Phải trả nội bộ về vốn kinh doanh,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4. Phải trả nội bộ dài hạn,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462516874000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5. Phải trả dài hạn khác,0.0,0.0,,0.0,0.0,,,56000000000.0,,306402694055.0,331706037464.0,360840000000.0,420138750000.0,454996500000.0,640573410954.0,644573410954.0,971594010954.0,986488510954.0,1022925060954.0,1017390060954.0,934546060954.0,925157060954.0,860893060954.0,901266681620.0,976740681620.0,995910554420.0,978964758147.0,940628694335.0,910701356807.0,1336239746454.0,1321743970988.0,941763666613.0,1037775003208.0,897125559784.0,927283837696.0,907161285629.0,952103446757.0,967138498701.0,959022609992.0,1237863689765.0,1176034606485.0,1173817416105.0,1169151170284.0,1177404049728.0,526301047389.0,540731746881.0,544731100936.0,536706047353.0,569734015815.0,577184361355.0,522755642301.0,484296086991.0,551589958880.0,547170675305.0,545731030104.0,562478315708.0,564809499408.0,562869115039.0,813396166869.0,874644029771.0,486441633245.0,979395686425.0,1003906901441.0,1301174232198.0
6. Vay và nợ thuê tài chính dài hạn,9787151842.0,5820447488.0,,5101480436.0,35766427388.0,,,219649694368.0,,361411178933.0,613643264746.0,679405632412.0,1090835686820.0,1368325520554.0,1377966392059.0,1604237417173.0,1913239163487.0,1950384906520.0,2163474074473.0,2073081532698.0,1683731154037.0,1508155026141.0,1234705612010.0,1330957473035.0,1817547305987.0,2307293290179.0,2630491697545.0,2208489117414.0,2166330976217.0,1955082882936.0,2401713218562.0,3234212755198.0,3579614827726.0,3989218905982.0,4037780965222.0,4152756015201.0,4278233378817.0,4579009836514.0,4804909089288.0,4985128441142.0,5295353481178.0,5266877820651.0,5439419104058.0,5342908154187.0,5430733177906.0,5438284452218.0,5427857952217.0,5451236452226.0,5534768788073.0,5515437122073.0,5486215357073.0,5450850358073.0,5411539750297.0,5368639751297.0,5242975252297.0,5190336343297.0,5149937492288.0,5008651300996.0,4696844290895.0,4603513763622.0,4561127422717.0,4484601245440.0,4417652745440.0,5186738138882.0
7. Trái phiếu chuyển đổi,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Thuế thu nhập hoãn lại phải trả,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607755017548.0
9. Dự phòng trợ cấp mất việc làm,0.0,0.0,,0.0,101241897.0,,,106779263.0,,240573903.0,240573903.0,225054483.0,240014483.0,254830284.0,240014483.0,240014483.0,240014483.0,240014483.0,240014483.0,240014483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10. Dự phòng phải trả dài hạn,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14517958183.0,13461260910.0,15384298182.0,17307335456.0,19230372729.0,21153410002.0,23076447275.0,30768596367.0,26922521821.0,23325389115.0,30768596367.0,32691633640.0,34614670913.0,36537708186.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,38460745459.0,103436254493.0
11. Doanh thu chưa thực hiện dài hạn,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,829947652.0,685593537.0,581556654.0,530449062.0,35226971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29754426326.0,193165206326.0,240871457237.0,240865775419.0,240860093601.0,240837366329.0,329114509.0,329114509.0,306387237.0,306387237.0,306387237.0,306387237.0,283659965.0,283659965.0,5750740775.0,5452412707.0,5352249276.0,4968313600.0,4303280414.0,3615512190.0,3513492814.0,2599799050.0,2093821360.0,1421401764.0,826962150.0,799142742.0,757514867.0,1075052700.0,1191236986.0,1490254721.0,1432674267.0,1363122106.0,967010108.0,857632440.0,731796624.0,607489916.0,596268865.0,2130234246.0,883844345.0,53473893008.0
12. Quỹ phát triển khoa học và công nghệ,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Nguồn vốn chủ sở hữu,20561366842.0,64435753583.0,66113292086.0,64960630203.0,69288224581.0,66257664799.0,64858773635.0,70769785275.0,158073894315.0,160061096164.0,192523637003.0,443768116812.0,493993187573.0,509495983412.0,528472473492.0,540019657787.0,579403847355.0,593084180272.0,559030071982.0,561673922010.0,612028240155.0,611746757871.0,772692597675.0,775250704031.0,773811183524.0,776569237665.0,976712525658.0,996821186469.0,1327778272292.0,1333327793706.0,1608847687339.0,1623568848447.0,1722415693973.0,1827237742790.0,2295079263352.0,2429780129992.0,2533196526311.0,2668541129302.0,2487951558183.0,3153013686737.0,3227386816820.0,3234762185345.0,3265225485293.0,3304260250653.0,3164203864752.0,3150466857762.0,3151237025262.0,3182507060066.0,3214925552968.0,3211890413152.0,3198394972227.0,3109299560513.0,2960825945179.0,2936444470950.0,2887384016109.0,2814607070656.0,3803177947218.0,3943613146490.0,3921715944745.0,3930391695124.0,3867959323060.0,3874205583436.0,3887076719031.0,11222036277918.0
I. Vốn chủ sở hữu,20561366842.0,64435753583.0,66113292086.0,64960630203.0,69288224581.0,66257664799.0,64858773635.0,70769785275.0,158073894315.0,160061096164.0,192523637003.0,443768116812.0,493993187573.0,509495983412.0,528472473492.0,540019657787.0,579403847355.0,593084180272.0,559030071982.0,561673922010.0,612028240155.0,611746757871.0,772692597675.0,775250704031.0,773811183524.0,776569237665.0,976712525658.0,996821186469.0,1327778272292.0,1333327793706.0,1608847687339.0,1623568848447.0,1722415693973.0,1827237742790.0,2295079263352.0,2429780129992.0,2533196526311.0,2668541129302.0,2487951558183.0,3153013686737.0,3227386816820.0,3234762185345.0,3265225485293.0,3304260250653.0,3164203864752.0,3150466857762.0,3151237025262.0,3182507060066.0,3214925552968.0,3211890413152.0,3198394972227.0,3109299560513.0,2960825945179.0,2936444470950.0,2887384016109.0,2814607070656.0,3803177947218.0,3943613146490.0,3921715944745.0,3930391695124.0,3867959323060.0,3874205583436.0,3887076719031.0,11222036277918.0
